,Unique City,No. Charging Stations
0,"ABBOTSFORD, WI",1
1,"ABERDEEN, MD",6
2,"ABERDEEN, SD",3
3,"ABERDEEN, WA",1
4,"ABILENE, TX",3
5,"ABINGDON, VA",2
6,"ABITA SPRINGS, LA",2
7,"ABSECON, NJ",1
8,"ACAMPO, CA",3
9,"ACCORD, NY",1
10,"ACTON, CA",1
11,"ACWORTH, GA",3
12,"ADA, OH",2
13,"ADA, OK",3
14,"ADAIRSVILLE, GA",1
15,"ADAMSTOWN, PA",1
16,"ADDISON, IL",2
17,"ADDISON, TX",4
18,"ADRIAN, MI",1
19,"AGAWAM, MA",7
20,"AGOURA HILLS, CA",5
21,"AHWAHNEE, CA",1
22,"AIEA, HI",6
23,"AIKEN, SC",2
24,"AIRWAY HEIGHTS, WA",1
25,"AKRON, OH",14
26,"AKRON, PA",1
27,"ALABASTER, AL",1
28,"ALAMEDA, CA",13
29,"ALAMO HEIGHTS, TX",1
30,"ALAMO, NV",1
31,"ALAMOSA, CO",2
32,"ALBANY, CA",1
33,"ALBANY, GA",3
34,"ALBANY, NY",55
35,"ALBANY, OR",5
36,"ALBERT LEA, MN",5
37,"ALBERTVILLE, AL",1
38,"ALBIA, IA",1
39,"ALBION, NE",1
40,"ALBION, NY",1
41,"ALBUQUERQUE, NM",28
42,"ALCOA, TN",6
43,"ALEDO, TX",1
44,"ALEXANDRIA BAY, NY",1
45,"ALEXANDRIA, KY",1
46,"ALEXANDRIA, LA",4
47,"ALEXANDRIA, MN",3
48,"ALEXANDRIA, VA",35
49,"ALGONA, WA",1
50,"ALGONQUIN, IL",2
51,"ALHAMBRA, CA",5
52,"ALIQUIPPA, PA",1
53,"ALISO VIEJO, CA",10
54,"ALLEN PARK, MI",2
55,"ALLEN, NE",1
56,"ALLEN, TX",6
57,"ALLENTOWN, PA",18
58,"ALMA, CO",1
59,"ALOHA, OR",1
60,"ALPHARETTA, GA",46
61,"ALPINE, CA",2
62,"ALTA, UT",1
63,"ALTAMONT, NY",1
64,"ALTAMONTE SPRINGS, FL",4
65,"ALTAVISTA, VA",2
66,"ALTO, GA",1
67,"ALTON, IL",3
68,"ALTOONA, IA",5
69,"ALTOONA, PA",4
70,"ALTOONA, WI",2
71,"ALTURAS, CA",1
72,"ALVARADO, TX",1
73,"ALVIN, TX",1
74,"AMAGANSETT, NY",1
75,"AMARILLO, TX",6
76,"AMBLER, PA",6
77,"AMERICAN CANYON, CA",1
78,"AMERICAN FORK, UT",2
79,"AMERICUS, GA",1
80,"AMES, IA",5
81,"AMESBURY, MA",6
82,"AMHERST, MA",21
83,"AMITY, OR",2
84,"AMITYVILLE, NY",3
85,"AMMON, ID",1
86,"AMSTERDAM, NY",2
87,"ANACORTES, WA",5
88,"ANADARKO, OK",1
89,"ANAHEIM, CA",74
90,"ANCHORAGE, AK",8
91,"ANDALUSIA, AL",1
92,"ANDERSON, CA",2
93,"ANDERSON, IN",1
94,"ANDERSON, SC",3
95,"ANDOVER, MN",2
96,"ANGOLA, IN",5
97,"ANGOLA, NY",1
98,"ANGWIN, CA",1
99,"ANKENY, IA",4
100,"ANN ARBOR, MI",24
101,"ANNANDALE, MN",1
102,"ANNANDALE, VA",2
103,"ANNAPOLIS, MD",31
104,"ANOKA, MN",1
105,"ANSTED, WV",2
106,"ANTELOPE, CA",1
107,"ANTHEM, AZ",1
108,"ANTIOCH, CA",8
109,"ANTLERS, OK",1
110,"ANZA, CA",2
111,"APACHE JUNCTION, AZ",2
112,"APALACHICOLA, FL",7
113,"APEX, NC",1
114,"APOLLO BEACH, FL",2
115,"APOPKA, FL",6
116,"APPLE VALLEY, CA",1
117,"APPLE VALLEY, MN",2
118,"APPLETON, WI",9
119,"APTOS, CA",4
120,"AQUEBOGUE, NY",1
121,"ARANSAS PASS, TX",1
122,"ARBOVALE, WV",1
123,"ARBUCKLE, CA",1
124,"ARBUTUS, MD",1
125,"ARCADIA, CA",12
126,"ARCADIA, FL",1
127,"ARCATA, CA",2
128,"ARCHBOLD, OH",1
129,"ARCHDALE, NC",2
130,"ARCHER, FL",1
131,"ARDEN HILLS, MN",1
132,"ARDMORE, OK",4
133,"ARDMORE, PA",1
134,"ARKANSAS CITY, KS",1
135,"ARLINGTON HEIGHTS, IL",4
136,"ARLINGTON HEIGHTS, OH",1
137,"ARLINGTON, NY",2
138,"ARLINGTON, OR",1
139,"ARLINGTON, TX",17
140,"ARLINGTON, VA",84
141,"ARLINGTON, WA",4
142,"ARNOLD, MD",3
143,"ARNOLD, MO",1
144,"ARROYO GRANDE, CA",4
145,"ARTESIA, CA",1
146,"ARVADA, CO",12
147,"ARVIN, CA",2
148,"ASBURY PARK, NJ",2
149,"ASHBURN, VA",20
150,"ASHEBORO, NC",4
151,"ASHEVILLE, NC",33
152,"ASHFORD, WA",3
153,"ASHLAND CITY, TN",1
154,"ASHLAND, KY",1
155,"ASHLAND, NE",1
156,"ASHLAND, OH",1
157,"ASHLAND, OR",16
158,"ASHLAND, VA",5
159,"ASHTON, ID",1
160,"ASHWAUBENON, WI",3
161,"ASPEN, CO",20
162,"ASTORIA, OR",2
163,"ATASCADERO, CA",3
164,"ATHENS, AL",2
165,"ATHENS, GA",16
166,"ATHENS, OH",7
167,"ATHERTON, CA",3
168,"ATLANTA, GA",324
169,"ATLANTA, IL",1
170,"ATLANTA, MI",1
171,"ATLANTIC CITY, NJ",5
172,"ATOKA, OK",1
173,"ATTICA, OH",1
174,"ATWATER, CA",3
175,"AU SABLE FORKS, NY",1
176,"AUBREY, TX",1
177,"AUBURN HILLS, MI",9
178,"AUBURN, AL",9
179,"AUBURN, CA",7
180,"AUBURN, ME",4
181,"AUBURN, NE",2
182,"AUBURN, NY",3
183,"AUBURN, WA",14
184,"AUGUSTA, GA",12
185,"AUGUSTA, ME",6
186,"AULANDER, NC",1
187,"AURORA, CO",35
188,"AURORA, IL",11
189,"AURORA, IN",1
190,"AURORA, MO",1
191,"AURORA, NE",2
192,"AURORA, OH",2
193,"AUSTELL, GA",2
194,"AUSTIN, MN",5
195,"AUSTIN, NV",2
196,"AUSTIN, TX",283
197,"AUSTINBURG, OH",1
198,"AVALON, NJ",2
199,"AVENEL, NJ",1
200,"AVENTURA, FL",15
201,"AVERILL PARK, NY",1
202,"AVILA BEACH, CA",2
203,"AVOCA, IA",1
204,"AVON PARK, FL",3
205,"AVON, CO",14
206,"AVON, IN",2
207,"AVON, NC",1
208,"AVON, OH",2
209,"AVONDALE ESTATES, GA",1
210,"AVONDALE, AZ",3
211,"AVONDALE, LA",1
212,"AZTEC, NM",1
213,"AZUSA, CA",8
214,"BAD AXE, MI",1
215,"BAILEYS HARBOR, WI",2
216,"BAINBRIDGE ISLAND, WA",5
217,"BAKER CITY, OR",1
218,"BAKER, CA",4
