States,Regular,Average EV per Gallon,Saved per Gallon
AL,$2.07,$1.14,$0.93
AK,$2.53,$2.02,$0.51
AZ,$2.31,$1.21,$1.10
AR,$2.06,$0.90,$1.16
CA,$3.29,$1.72,$1.57
CO,$2.28,$1.09,$1.19
CT,$2.33,$1.96,$0.37
DE,$2.42,$1.25,$1.17
FL,$2.30,$1.05,$1.25
GA,$2.15,$1.06,$1.09
HI,$3.30,$2.91,$0.39
ID,$2.22,$0.96,$1.26
IL,$2.46,$1.20,$1.26
IN,$2.31,$1.12,$1.19
IA,$2.23,$1.21,$1.02
KS,$2.07,$1.17,$0.90
KY,$2.21,$0.97,$1.24
LA,$2.01,$0.87,$1.14
ME,$2.32,$1.48,$0.84
MD,$2.40,$1.21,$1.19
MA,$2.26,$1.97,$0.29
MI,$2.17,$1.45,$0.72
MN,$2.19,$1.25,$0.94
MS,$1.98,$1.10,$0.88
MO,$2.03,$1.13,$0.90
MT,$2.25,$1.04,$1.21
NE,$2.24,$1.04,$1.20
NV,$2.66,$1.10,$1.56
NH,$2.23,$1.80,$0.43
NJ,$2.45,$1.44,$1.01
NM,$2.21,$1.10,$1.11
NY,$2.38,$1.68,$0.70
NC,$2.19,$1.04,$1.15
ND,$2.21,$1.02,$1.19
OH,$2.26,$1.17,$1.09
OK,$2.04,$0.92,$1.12
OR,$2.63,$1.02,$1.61
PA,$2.61,$1.30,$1.31
RI,$2.26,$1.82,$0.44
SC,$2.09,$1.17,$0.92
SD,$2.27,$1.10,$1.17
TN,$2.12,$0.99,$1.13
TX,$2.00,$1.06,$0.94
UT,$2.22,$0.98,$1.24
VT,$2.29,$1.67,$0.62
VA,$2.18,$1.12,$1.06
WA,$2.77,$0.88,$1.89
WV,$2.29,$1.07,$1.22
WI,$2.16,$1.38,$0.78
WY,$2.23,$1.09,$1.14
