City,Price
Bakersfield,$3.19 
Chico-Paradise,$3.19 
El Centro,$3.19 
Fresno,$3.20 
Hanford,$3.13 
Corcoran,$3.13 
Los Angeles,$3.28 
Long Beach,$3.28 
Madera,$3.18 
Chowchilla,$3.18 
Merced,$3.23 
Modesto,$3.16 
Napa,$3.48 
Oakland,$3.40 
Orange County,$3.27 
Redding,$3.30 
Riverside,$3.23 
Sacramento,$3.28 
Salinas,$3.35 
San Bernardino,$3.24 
San Diego,$3.28 
San Francisco,$3.51 
San Jose,$3.41 
San Luis Obispo,$3.41 
Atascadero,$3.41 
Paso Robles,$3.41 
San Rafael,$3.56 
Santa Barbara,$3.26 
Santa Maria,$3.26 
Lompoc,$3.26 
Santa Cruz,$3.30 
Watsonville,$3.30 
Santa Rosa,$3.47 
Stockton,$3.22 
Lodi,$3.22 
Vallejo,$3.30 
Fairfield,$3.30 
Ventura,$3.27 
Visalia-Tulare-Porterville,$3.22 
Yolo,$3.29 
Yuba City,$3.28 
