Model	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Acura ILX	935	1,083	723	506	1,039	1,109	1,230	1,331	1,377	1,523	1,141	1,417
Acura MDX	2,961	3,843	2,137	1,725	3,331	3,977	4,494	5,165	4,920	4,732	4,491	6,040
Acura NSX	9	9	16	5	6	10	15	3	10	22	9	14
Acura RDX	3,493	4,982	2,678	1,760	4,427	5,410	5,317	5,057	4,664	5,022	4,155	5,820
Acura RLX	63	84	31	26	71	126	134	118	122	126	81	72
Acura TLX	1,769	2,263	1,452	1,024	1,467	1,439	1,886	1,973	1,848	2,365	2,014	2,285
Alfa Romeo 4C	10	13	8	7	16	17	7	7	7	2	2	3
Alfa Romeo Giulia	571	740	448	305	677	711	769	683	740	864	709	987
Alfa Romeo Stelvio	621	804	487	360	801	841	997	886	960	1,189	977	1,359
Audi A3	727	941	570	342	761	799	896	796	863	1,094	899	1,250
Audi A4	1,283	1,661	1,006	795	1,766	1,854	2,089	1,857	2,012	1,356	1,114	1,549
Audi A5	1,728	2,237	1,355	898	1,996	2,096	1,304	1,159	1,255	1,619	1,330	1,850
Audi A6	809	1,048	635	374	830	872	1,216	1,081	1,171	843	693	964
Audi A7	211	273	165	107	238	250	263	233	253	292	240	334
Audi A8	180	233	141	83	185	194	230	204	222	237	195	271
Audi eTron	556	719	436	209	464	488	805	716	775	686	564	784
Audi Q3	1,805	2,336	1,415	794	1,764	1,853	2,571	2,286	2,476	3,357	2,758	3,837
Audi Q5	3,235	4,188	2,537	1,453	3,229	3,390	3,976	3,534	3,829	7,106	5,837	8,121
Audi Q7	2,024	2,621	1,587	795	1,767	1,856	2,151	1,912	2,071	2,897	2,380	3,311
Audi Q8	791	1,024	620	357	794	834	1,142	1,015	1,100	1,483	1,218	1,694
Audi R8	32	41	25	18	41	43	69	61	66	63	52	72
Audi TT	57	74	45	45	100	105	83	74	80	57	47	65
BMW 2-Series	576	745	451	685	1,522	1,598	1,467	1,299	16	1,636	1,344	1,870
BMW 3-Series	3,447	4,463	2,703	1,388	3,085	3,239	3,638	3,222	1,383	4,292	3,525	4,905
BMW 4-Series	714	924	560	317	704	739	587	520	3,430	1,303	1,070	1,489
BMW 5-Series	1,752	2,269	1,374	889	1,976	2,075	1,877	1,663	553	3,740	3,072	4,275
BMW 6-Series	17	22	13	12	26	28	9	8	1,770	19	15	21
BMW 7-Series	547	709	429	209	465	488	479	424	9	751	617	858
BMW 8-Series	550	712	431	314	699	734	742	657	699	734	603	839
BMW i3	21	27	16	34	75	79	216	191	203	216	177	247
BMW i8	21	28	17	9	20	21	17	15	16	9	8	11
BMW X1	1,342	1,738	1,053	415	923	969	1,275	1,129	1,202	1,458	1,198	1,666
BMW X2	742	961	582	318	707	743	613	543	578	533	438	610
BMW X3	3,447	4,463	2,703	1,703	3,784	3,973	5,714	5,061	5,388	7,942	6,523	9,076
BMW X4	581	752	455	247	549	577	567	502	535	977	803	1,117
BMW X5	3,455	4,473	2,709	1,533	3,407	3,577	4,491	3,977	4,234	6,294	5,170	7,193
BMW X6	406	526	319	216	480	504	698	618	658	967	794	1,105
BMW X7	4,188	1,927	1,167	733	1,628	1,710	1,709	1,513	1,611	2,376	1,952	2,716
BMW Z4	203	263	159	149	332	349	252	223	238	66	54	76
Buick Cascada	2	3	2	1	2	2	-	-	-	-	-	-
Buick Enclave	2,843	3,680	2,229	1,342	2,981	3,130	3,484	3,097	3,355	4,162	3,419	4,757
Buick Encore	5,469	7,081	4,289	1,806	4,013	4,214	3,907	3,473	3,763	2,138	1,756	2,444
Buick Encore GX	-	-	-	1,666	3,702	3,888	5,617	4,993	5,409	5,723	4,701	6,541
Buick Envision	2,252	2,915	1,766	1,419	3,152	3,310	4,087	3,633	3,935	2,859	2,348	3,267
Buick LaCrosse	45	58	35	13	28	30	2	2	2	5	4	5
Buick Regal	390	505	306	148	329	345	141	135	135	20	16	23
Cadillac ATS	15	20	12	8	18	19	6	5	6	2	2	2
Cadillac CT4	13	17	10	106	236	248	539	479	519	918	754	1,049
Cadillac CT5	974	1,262	764	464	1,030	1,082	1,403	1,247	1,351	1,732	1,423	1,980
Cadillac CT6	560	725	439	149	330	347	148	132	142	49	40	56
Cadillac CTS	52	67	41	30	67	71	52	46	50	46	37	52
Cadillac Escalade	1,825	2,363	1,431	888	1,974	2,073	1,591	1,414	1,532	3,189	2,620	3,645
Cadillac XT4	1,677	2,171	1,315	716	1,591	1,671	2,225	1,978	2,142	2,357	1,936	2,694
Cadillac XT5	2,931	3,794	2,298	1,041	2,313	2,429	3,320	2,951	3,197	3,694	3,034	4,222
Cadillac XT6	1,648	2,134	1,292	744	1,652	1,735	2,191	1,948	2,110	2,414	1,983	2,759
Cadillac XTS	154	199	120	48	106	111	85	75	82	74	61	85
Chevrolet Blazer	7,192	9,312	5,640	3,551	7,890	8,285	10,339	9,190	9,956	7,841	6,441	8,961
Chevrolet Bolt	1,908	2,470	1,496	449	998	1,048	1,992	1,771	1,919	2,261	1,857	2,584
Chevrolet Camaro	2,334	3,021	1,830	1,202	2,670	2,804	2,934	2,608	2,825	2,547	2,092	2,910
Chevrolet Colorado	6,960	9,011	5,458	3,572	7,937	8,334	9,557	8,495	9,203	9,348	7,678	10,683
Chevrolet Corvette	1,241	1,606	973	443	984	1,033	2,228	1,981	2,146	3,033	2,492	3,467
Chevrolet Cruze	132	170	103	50	111	116	25	22	24	10	8	12
Chevrolet Equinox	23,858	30,887	18,708	9,144	20,319	21,335	23,660	21,031	22,784	26,741	21,966	30,561
Chevrolet Express	4,323	5,596	3,390	1,621	3,602	3,783	5,184	4,608	4,992	6,052	4,972	6,917
Chevrolet Impala	1,613	2,088	1,265	366	813	854	672	597	647	347	285	396
Chevrolet Malibu	11,460	14,837	8,987	2,279	5,064	5,318	8,926	7,934	8,595	9,868	8,106	11,278
Chevrolet Silverado	46,673	60,425	36,600	22,038	48,973	51,421	51,715	45,969	49,800	60,535	49,725	69,183
Chevrolet Sonic	1,410	1,825	1,106	380	844	887	1,524	1,355	1,468	745	612	851
Chevrolet Spark	3,038	3,933	2,382	956	2,124	2,231	2,936	2,610	2,827	3,523	2,894	4,026
Chevrolet Suburban	3,084	-	2,418	1,263	2,806	2,947	2,647	2,353	2,549	4,580	3,762	5,235
Chevrolet Tahoe	6,627	8,579	5,197	2,883	6,406	6,727	8,107	7,207	7,807	9,681	7,952	11,064
Chevrolet TrailBlazer	1	1	1	1,206	2,680	2,814	3,619	3,217	3,485	5,825	4,785	6,658
Chevrolet Traverse	9,775	12,655	7,665	4,017	8,926	9,372	11,082	9,850	10,671	14,011	11,509	16,013
Chevrolet Trax	9,173	11,876	7,193	4,044	8,986	9,436	10,339	9,190	9,956	8,807	7,234	10,065
Chevrolet Volt	7	10	6	7	16	16	2	2	2	-	-	-
Chrysler 200	1	1	1	-	-	-	1	1	1	1	1	1
Chrysler 300	1,818	2,353	1,245	502	1,115	1,171	1,112	988	1,070	1,720	1,413	1,966
Chrysler Pacifica	7,966	10,313	6,247	1,992	4,428	4,649	10,062	8,944	-	9,956	8,178	11,378
Chrysler Town and Country	-	-	-	-	-	-	-	-	9,690	-	-	-
Dodge Challenger	3,942	5,104	3,092	1,778	3,952	4,150	5,727	5,090	5,515	4,927	4,047	5,631
Dodge Charger	6,050	7,833	4,745	2,062	4,582	4,812	8,257	7,339	7,951	8,027	6,594	9,174
Dodge Dart	1	1	1	-	1	1	-	-	-	-	-	-
Dodge Durango	5,783	7,487	4,535	2,105	4,678	4,911	5,595	4,974	5,388	4,174	3,428	4,770
Dodge Grand Caravan	8,098	10,483	6,350	952	2,116	2,222	2,080	1,849	2,003	881	724	1,007
Dodge Journey	4,921	6,371	3,859	978	2,174	2,282	3,564	3,168	3,432	3,236	2,658	3,698
Dodge Viper	-	-	-	-	-	-	1	1	1	1	1	1
Fiat 124 Spider	126	163	99	105	232	244	146	130	140	110	90	126
Fiat 500	106	138	83	43	96	100	34	30	32	4	3	5
Fiat 500L	42	55	33	22	50	52	48	43	47	28	23	32
Fiat 500X	92	119	72	71	158	166	158	141	153	106	87	121
Ford Bronco Sport	-	-	-	-	-	-	-	-	-	-	22	5,098
Ford E-Series	3,280	4,246	2,572	1,044	2,321	2,437	3,256	2,894	3,136	4,469	3,412	3,934
Ford EcoSport	4,197	5,434	3,291	3,102	6,893	7,237	5,977	5,313	5,755	4,210	4,318	4,817
Ford Edge	9,614	12,446	7,539	3,789	8,421	8,842	9,191	8,170	8,850	10,387	9,096	12,541
Ford Escape	15,628	20,233	12,255	6,602	14,672	15,406	16,465	14,636	15,855	15,959	13,411	17,373
Ford Expedition	6,428	8,322	5,041	2,260	5,022	5,273	6,803	6,047	6,551	9,014	7,025	10,052
Ford Explorer	18,289	23,678	14,342	8,071	17,936	18,832	20,709	18,408	19,942	21,079	18,848	26,081
Ford F-Series	60,595	78,449	47,517	32,549	72,330	75,947	77,720	69,085	74,842	71,593	52,698	74,047
Ford Fiesta	884	1,145	694	78	174	182	47	42	46	11	51	-
Ford Flex	801	1,037	628	303	674	708	189	168	182	41	118	-
Ford Fusion	11,997	15,532	9,408	4,407	9,794	10,283	10,254	9,115	9,874	6,526	5,902	7,573
Ford GT	26	33	20	3	7	8	-	-	-	14	4	10
Ford Mustang	5,869	7,598	4,602	2,829	6,287	6,601	4,857	4,317	4,677	4,399	4,119	4,935
Ford Mustang Mach E	-	-	-	-	-	-	-	-	-	-	-	3
Ford Ranger	6,814	8,822	5,344	4,501	10,003	10,503	9,941	8,836	9,573	8,779	8,495	9,874
Ford Transit	11,964	15,490	9,382	3,230	7,178	7,536	13,637	12,122	13,132	12,403	9,917	15,566
Ford Transit Connect	2,457	3,181	1,927	1,217	2,704	2,839	3,828	3,402	3,686	2,886	2,993	3,476
Genesis G70	716	841	517	551	870	897	883	950	899	826	683	803
Genesis G80	456	457	284	161	319	324	242	226	133	89	55	613
Genesis G90	227	289	168	94	161	208	132	184	96	139	139	235
Genesis GV80	-	-	-	-	-	-	-	-	-	-	58	1,459
GMC Acadia	5,744	7,437	4,505	2,744	6,097	6,402	6,393	5,682	6,156	7,212	5,924	8,242
GMC Canyon	1,456	1,885	1,142	941	2,090	2,195	2,270	2,018	2,186	3,039	2,496	3,473
GMC Savana	1,358	1,759	1,065	537	1,194	1,253	1,698	1,510	1,635	1,045	859	1,195
GMC Sierra	17,217	22,290	13,501	9,688	21,530	22,606	23,778	21,136	22,898	26,438	21,717	30,215
GMC Terrain	8,215	10,635	6,442	2,509	5,576	5,854	7,473	6,643	7,197	8,594	7,060	9,822
GMC Yukon	4,569	5,915	3,583	1,898	4,217	4,428	4,935	4,386	4,752	8,352	6,861	9,546
Honda Accord	15,099	18,216	13,810	8,851	17,369	15,409	17,221	19,167	20,149	19,185	15,473	19,509
Honda Civic	20,054	25,617	18,273	13,410	27,244	23,260	25,188	25,524	22,371	21,865	17,372	21,047
Honda Clarity FCV	475	559	221	90	248	187	213	251	354	719	347	-
Honda CR-V	26,027	28,268	16,891	12,201	29,023	26,488	20,473	34,391	33,572	32,415	25,633	38,120
Honda CR-Z	-	1	-	-	-	-	-	-	-	-	-	551
Honda Fit	2,534	2,853	1,792	1,187	2,598	2,923	3,571	3,814	3,116	3,082	2,313	2,705
Honda HR-V	7,457	8,114	3,843	2,906	7,063	7,512	8,402	8,942	7,560	7,421	6,379	8,428
Honda Insight	1,433	1,613	857	511	1,127	1,423	1,922	1,886	1,472	1,375	1,080	1,233
Honda Odyssey	5,622	6,494	4,274	3,933	7,648	7,946	7,286	8,644	7,844	8,001	7,016	8,701
Honda Passport	2,846	3,109	1,878	1,594	3,536	3,060	3,291	4,070	4,281	4,102	3,456	4,344
Honda Pilot	7,765	9,688	6,445	6,562	12,227	12,128	12,036	12,508	10,643	11,631	9,126	13,054
Honda Ridgeline	3,083	3,210	1,832	1,460	2,553	2,367	2,771	3,081	2,755	3,401	2,528	3,127
Hyundai Accent	1,565	2,046	1,196	736	1,512	1,239	1,538	1,135	1,348	1,129	972	1,559
Hyundai Elantra	7,874	10,441	7,430	7,536	7,608	7,561	9,283	9,135	8,235	11,428	8,095	10,849
Hyundai Ioniq	1,278	1,481	763	422	626	868	1,826	879	1,096	1,202	1,090	2,039
Hyundai Kona	4,208	7,092	3,874	3,114	6,536	5,943	7,077	7,998	6,971	6,540	8,551	8,349
Hyundai Nexo	16	28	7	3	10	12	16	25	21	37	20	13
Hyundai Palisade	5,432	6,967	3,934	3,331	7,866	8,169	8,404	7,983	7,741	7,519	6,436	8,123
Hyundai Santa Fe	7,148	7,152	6,358	5,602	9,549	8,376	9,296	9,129	8,566	9,072	8,765	12,500
Hyundai Sonata	5,501	6,144	3,957	3,428	5,852	5,407	6,834	7,965	8,038	7,570	8,242	8,059
Hyundai Tuscon	8,068	9,594	6,073	8,438	15,552	10,216	10,922	11,632	10,644	10,898	9,739	11,881
Hyundai Veloster	665	842	575	541	858	-	861	836	601	443	296	267
Hyundai Venue	989	1,226	951	817	1,650	-	1,620	1,644	1,529	1,557	2,965	2,639
Infiniti Q50	1,811	2,344	1,420	656	1,457	1,530	1,356	1,206	1,306	1,163	955	1,329
Infiniti Q60	301	390	236	139	308	323	207	184	199	171	140	195
Infiniti Q70	37	48	29	3	6	6	2	2	2	1	1	2
Infiniti QX30	36	47	29	4	8	9	5	4	4	1	1	1
Infiniti QX50	1,354	1,753	1,062	882	1,960	2,058	1,929	1,714	1,857	2,131	1,750	2,435
