Unique City,No. of Charge Stations
"ABBOTSFORD, WI",1
"ABERDEEN, MD",6
"ABERDEEN, NJ",1
"ABERDEEN, SD",3
"ABERDEEN, WA",1
"ABILENE, TX",3
"ABINGDON, MD",3
"ABINGDON, VA",2
"ABITA SPRINGS, LA",2
"ABSECON, NJ",1
"ACAMPO, CA",3
"ACCORD, NY",1
"ACME, MI",2
"ACTON, CA",1
"ACTON, MA",6
"ACWORTH, GA",3
"ADA, MI",2
"ADA, OH",2
"ADA, OK",3
"ADAIRSVILLE, GA",1
"ADAMSTOWN, PA",1
"ADDISON, IL",2
"ADDISON, TX",4
"ADRIAN, MI",1
"AFTON, VA",1
"AGAWAM, MA",7
"AGOURA HILLS, CA",5
"AGOURA, CA",1
"AHWAHNEE, CA",1
"AIEA, HI",6
"AIKEN, SC",2
"AIRWAY HEIGHTS, WA",1
"AK-CHIN INDIAN COMMUNITY, AZ",1
"AKRON, OH",14
"AKRON, PA",1
"AKWESASNE, NY",1
"ALABASTER, AL",1
"ALAMEDA, CA",13
"ALAMO HEIGHTS, TX",1
"ALAMO, NV",1
"ALAMOSA, CO",2
"ALBANY, CA",1
"ALBANY, GA",3
"ALBANY, NH",1
"ALBANY, NY",55
"ALBANY, OR",5
"ALBANY, VT",1
"ALBERT LEA, MN",5
"ALBERTVILLE, AL",1
"ALBERTVILLE, NM",1
"ALBIA, IA",1
"ALBION, NE",1
"ALBION, NY",1
"ALBUQUERQUE, NM",28
"ALCOA, TN",6
"ALEDO, TX",1
"ALEXANDRIA BAY, NY",1
"ALEXANDRIA, KY",1
"ALEXANDRIA, LA",4
"ALEXANDRIA, MN",3
"ALEXANDRIA, NH",1
"ALEXANDRIA, VA",35
"ALGONA, WA",1
"ALGONQUIN, IL",2
"ALHAMBRA, CA",5
"ALIQUIPPA, PA",1
"ALISO VIEJO, CA",10
"ALLEN PARK, MI",2
"ALLEN, NE",1
"ALLEN, TX",6
"ALLENDALE CHARTER TOWNSHIP, MI",2
"ALLENTOWN, PA",18
"ALLSTON, MA",1
"ALMA, CO",1
"ALMONT, CO",1
"ALOHA, OR",1
"ALPHARETTA, GA",46
"ALPINE, CA",2
"ALSTON, MA",1
"ALTA, UT",1
"ALTAMONT, NY",1
"ALTAMONTE SPRINGS, FL",4
"ALTAVISTA, VA",2
"ALTO, GA",1
"ALTON, IL",3
"ALTON, VA",1
"ALTOONA, IA",5
"ALTOONA, PA",4
"ALTOONA, WI",2
"ALTOS HILLS, CA",1
"ALTURAS, CA",1
"ALVARADO, TX",1
"ALVIN, TX",1
"ALYS BEACH, FL",1
"AMAGANSETT, NY",1
"AMARGOSA VALLEY, NV",1
"AMARILLO, TX",6
"AMBLER, PA",6
"AMELIA ISLAND, FL",1
"AMENIA, NY",3
"AMER CYN, CA",2
"AMERICAN CANYON, CA",1
"AMERICAN FORK, UT",2
"AMERICUS, GA",1
"AMERST, NY",1
"AMES, IA",5
"AMESBURY, MA",6
"AMHERST, MA",21
"AMHERST, NY",5
"AMITY, OR",2
"AMITYVILLE, NY",3
"AMMON, ID",1
"AMSTERDAM, NY",2
"ANACORTES, WA",5
"ANADARKO, OK",1
"ANAHEIM, CA",74
"ANCHORAGE, AK",8
"ANCRAM, NY",1
"ANDALUSIA, AL",1
"ANDERSON, CA",2
"ANDERSON, IN",1
"ANDERSON, SC",3
"ANDOVER, MA",5
"ANDOVER, MN",2
"ANDOVER, NH",2
"ANGOLA, IN",5
"ANGOLA, NY",1
"ANGWIN, CA",1
"ANKENY, IA",4
"ANN ARBOR, MI",24
"ANN ARBOR, MI, WY",1
"ANNANDALE, MN",1
"ANNANDALE, VA",2
"ANNANDALE-ON-HUDSON, NY",2
"ANNAPOLIS JUNCTION, MD",3
"ANNAPOLIS, MD",31
"ANOKA, MN",1
"ANSTED, WV",2
"ANTELOPE, CA",1
"ANTHEM, AZ",1
"ANTIOCH, CA",8
"ANTIOCH, TN",2
"ANTLERS, OK",1
"ANZA, CA",2
"APACHE JUNCTION, AZ",2
"APALACHICOLA, FL",7
"APEX, NC",1
"APOLLO BEACH, FL",2
"APOPKA, FL",6
"APPLE VALLEY, CA",1
"APPLE VALLEY, MN",2
"APPLETON, WI",9
"APTOS, CA",4
"AQUEBOGUE, NY",1
"ARANSAS PASS, TX",1
"ARBOVALE, WV",1
"ARBUCKLE, CA",1
"ARBUTUS, MD",1
"ARCADE, NY",1
