,city_ascii,state_id,state_name,lat,lng,population,Density(km^2),Unique City,Land Area (sq km),City,Price,No. of Charge Stations
0,LOS ANGELES,CA,California,34.1139,-118.4068,12750807,3276.0,"LOS ANGELES, CA",4496,LOS ANGELES,3.28,759
1,SAN FRANCISCO,CA,California,37.7562,-122.443,3592294,7256.0,"SAN FRANCISCO, CA",1356,SAN FRANCISCO,3.51,216
2,SAN DIEGO,CA,California,32.8312,-117.1225,3220118,1686.0,"SAN DIEGO, CA",1896,SAN DIEGO,3.28,316
3,RIVERSIDE,CA,California,33.9381,-117.3948,2107852,1574.0,"RIVERSIDE, CA",1411,RIVERSIDE,3.23,70
4,SACRAMENTO,CA,California,38.5667,-121.4683,1898019,2029.0,"SACRAMENTO, CA",1219,SACRAMENTO,3.28,124
5,SAN JOSE,CA,California,37.3019,-121.8486,1798103,2218.0,"SAN JOSE, CA",740,SAN JOSE,3.41,171
6,FRESNO,CA,California,36.7831,-119.7941,703498,1789.0,"FRESNO, CA",443,FRESNO,3.2,61
7,BAKERSFIELD,CA,California,35.3529,-119.0359,579295,990.0,"BAKERSFIELD, CA",358,BAKERSFIELD,3.19,21
8,STOCKTON,CA,California,37.9765,-121.3109,397264,1941.0,"STOCKTON, CA",239,STOCKTON,3.22,19
9,MODESTO,CA,California,37.6374,-121.0028,383134,1933.0,"MODESTO, CA",238,MODESTO,3.16,11
10,SANTA ROSA,CA,California,38.4458,-122.7067,324634,1605.0,"SANTA ROSA, CA",253,SANTA ROSA,3.47,51
11,SANTA BARBARA,CA,California,34.4285,-119.7202,202401,1808.0,"SANTA BARBARA, CA",144,SANTA BARBARA,3.26,41
12,SALINAS,CA,California,36.6884,-121.6317,190972,2562.0,"SALINAS, CA",126,SALINAS,3.35,26
13,SANTA CRUZ,CA,California,36.9789,-122.0346,176428,1957.0,"SANTA CRUZ, CA",151,SANTA CRUZ,3.3,24
14,VALLEJO,CA,California,38.1133,-122.2358,173256,1524.0,"VALLEJO, CA",108,VALLEJO,3.3,12
15,FAIRFIELD,CA,California,38.2592,-122.0324,148683,1097.0,"FAIRFIELD, CA",102,FAIRFIELD,3.3,22
16,MERCED,CA,California,37.3057,-120.4778,145149,1390.0,"MERCED, CA",123,MERCED,3.23,7
17,SANTA MARIA,CA,California,34.9334,-120.4432,140545,1815.0,"SANTA MARIA, CA",75,SANTA MARIA,3.26,13
18,REDDING,CA,California,40.5698,-122.365,121313,599.0,"REDDING, CA",184,REDDING,3.3,9
19,YUBA CITY,CA,California,39.1357,-121.6381,120456,1736.0,"YUBA CITY, CA",100,YUBA CITY,3.28,4
20,EL CENTRO,CA,California,32.7867,-115.5586,111425,1478.0,"EL CENTRO, CA",77,EL CENTRO,3.19,3
21,HANFORD,CA,California,36.3274,-119.6549,94028,1280.0,"HANFORD, CA",71,HANFORD,3.13,13
22,NAPA,CA,California,38.2976,-122.3011,85239,1679.0,"NAPA, CA",66,NAPA,3.48,55
23,MADERA,CA,California,36.9631,-120.0782,84086,1557.0,"MADERA, CA",58,MADERA,3.18,10
24,WATSONVILLE,CA,California,36.9206,-121.7706,77352,3109.0,"WATSONVILLE, CA",59,WATSONVILLE,3.3,10
25,LODI,CA,California,38.1218,-121.2932,74773,1913.0,"LODI, CA",41,LODI,3.22,14
26,SAN LUIS OBISPO,CA,California,35.2669,-120.6691,62290,1374.0,"SAN LUIS OBISPO, CA",52,SAN LUIS OBISPO,3.41,21
27,LOMPOC,CA,California,34.6618,-120.4714,52020,1423.0,"LOMPOC, CA",27,LOMPOC,3.26,4
