Rank,Name[Note 1],city_cleaned,Population (2010 Census),Land Area (sq km),Land Area (sq mi),Density (Population / sq km),Density (Population / sq mi),Central City Population (2010 Census),Central City Pop % of Urban Area,Central City Land Area,Central City Land Area % of Urban Area
1,"New York–Newark, NY–NJ–CT–PA",New York,"18,351,295","8,936.00","3,450.20","2,053.60","5,318.90","8,175,133",44.50%,302.643,8.80%
2,"Los Angeles–Long Beach–Santa Ana, CA",Los Angeles,"12,150,996","4,496.30","1,736.00","2,702.50","6,999.30","3,792,621",31.20%,468,27%
3,"Chicago, IL–IN–WI",Chicago,"8,608,208","6,326.70","2,442.80","1,360.60","3,524.00","2,695,598",31.30%,227,9.30%
4,"Miami, FL",Miami,"5,502,379","3,208.00","1,238.60","1,715.20","4,442.40","399,457",7.30%,36,2.90%
5,"Philadelphia, PA–NJ–DE–MD",Philadelphia,"5,441,567","5,131.70","1,981.40","1,060.40","2,746.40","1,526,016",28%,134,6.80%
6,"Dallas–Fort Worth–Arlington, TX",Dallas,"5,121,892","4,607.90","1,779.10","1,111.50","2,878.90","1,197,816",23.40%,340,19.10%
7,"Houston, TX",Houston,"4,944,332","4,299.40","1,660.00","1,150.00","2,978.50","2,099,451",42.50%,639,38.50%
8,"Washington, DC–VA–MD",Washington,"4,586,770","3,423.30","1,321.70","1,339.90","3,470.30","681,170",14.90%,61,4.60%
9,"Atlanta, GA",Atlanta,"4,515,419","6,851.40","2,645.40",659,"1,706.90","420,003",9.30%,133,5%
10,"Boston, MA–NH–RI–CT",Boston,"4,181,019","4,852.20","1,873.50",861.7,"2,231.70","617,594",14.80%,48,2.60%
11,"Detroit, MI",Detroit,"3,734,090","3,463.20","1,337.20","1,078.20","2,792.50","713,777",19.10%,138,10.30%
12,"Phoenix–Mesa, AZ",Phoenix,"3,629,114","2,969.60","1,146.60","1,222.10","3,165.20","1,445,632",40%,517,45.10%
13,"San Francisco–Oakland, CA",San Francisco,"3,281,212","1,356.20",523.6,"2,419.50","6,266.40","805,235",24.50%,46.9,9%
14,"Seattle, WA",Seattle,"3,059,393","2,616.70","1,010.30","1,169.20","3,028.20","608,660",20%,83.9,8.30%
15,"San Diego, CA",San Diego,"2,956,746","1,896.90",732.4,"1,558.70","4,037.00","1,307,402",44.20%,325.2,44.40%
16,"Minneapolis–St. Paul, MN",Minneapolis,"2,650,890","2,646.50","1,021.80","1,001.70","2,594.30","382,578",14.40%,54.9,5.40%
17,"Tampa–St. Petersburg, FL",Tampa,"2,441,770","2,478.60",957,985.1,"2,551.50","335,709",13.70%,113.4,11.80%
18,"Denver–Aurora–Lakewood, CO",Denver,"2,374,203","1,730.00",668,"1,372.40","3,554.40","600,158",25.20%,153.3,22.90%
19,"Baltimore, MD",Baltimore,"2,203,663","1,857.10",717,"1,186.60","3,073.30","620,961",28.20%,80.9,11.30%
20,"St. Louis, MO–IL",St. Louis,"2,150,706","2,392.20",923.6,899,"2,328.50","319,294",14.80%,61.9,6.70%
21,"San Juan, PR",San Juan,"2,148,346","2,244.70",866.7,957.1,"2,478.80",,,,
22,"Riverside–San Bernardino, CA",Riverside,"1,932,666","1,411.50",545,"1,369.30","3,546.40",,,,
23,"Las Vegas–Henderson, NV",Las Vegas,"1,886,011","1,079.60",416.8,"1,746.90","4,524.50","583,756",31%,135.8,32.60%
24,"Portland, OR–WA",Portland,"1,849,898","1,358.10",524.4,"1,362.10","3,527.80","583,776",31.60%,133,25.40%
25,"Cleveland, OH",Cleveland,"1,780,673","1,999.40",772,890.6,"2,306.70","396,815",22.30%,77.7,10%
26,"San Antonio, TX",San Antonio,"1,758,210","1,546.50",597.1,"1,136.90","2,944.60","1,327,407",75.50%,460.9,77.20%
27,"Pittsburgh, PA",Pittsburgh,"1,733,853","2,344.40",905.2,739.6,"1,915.50","305,704",17.60%,55.4,6.10%
28,"Sacramento, CA",Sacramento,"1,723,634","1,219.80",471,"1,413.00","3,659.70","466,488",27.10%,97.9,20.80%
29,"San Jose, CA",San Jose,"1,664,496",740.7,286,"2,247.20","5,820.30","945,942",56.80%,177.5,62%
30,"Cincinnati, OH–KY–IN",Cincinnati,"1,624,827","2,040.20",787.7,796.4,"2,062.60","296,943",18.30%,78,9.90%
31,"Kansas City, MO–KS",Kansas City,"1,519,417","1,755.60",677.8,865.5,"2,241.60","459,787",30.30%,315,46.50%
32,"Orlando, FL",Orlando,"1,510,516","1,548.00",597.7,975.8,"2,527.30","238,300",15.80%,105,17.60%
33,"Indianapolis, IN",Indianapolis,"1,487,483","1,827.90",705.7,813.8,"2,107.70","820,445",55.20%,361.5,51.20%
34,"Virginia Beach, VA",Virginia Beach,"1,439,666","1,335.00",515.5,"1,078.40","2,793.00","437,994",30.40%,249,48.30%
35,"Milwaukee, WI",Milwaukee,"1,376,476","1,413.20",545.6,974,"2,522.80","594,833",43.20%,96.2,17.60%
36,"Columbus, OH",Columbus,"1,368,035","1,322.10",510.5,"1,034.70","2,680.00","787,033",57.50%,217.2,42.50%
37,"Austin, TX",Austin,"1,362,416","1,354.70",523,"1,005.70","2,604.80","790,390",58%,264.9,50.70%
38,"Charlotte, NC–SC",Charlotte,"1,249,442","1,920.50",741.5,650.6,"1,685.00","731,424",58.50%,298,40.20%
39,"Providence, RI–MA",Providence,"1,190,956","1,411.70",545.1,843.7,"2,185.10","178,042",14.90%,18.5,3.40%
40,"Jacksonville, FL",Jacksonville,"1,065,219","1,373.60",530.4,775.5,"2,008.50","821,784",77.10%,747.5,140.90%
41,"Memphis, TN–MS–AR",Memphis,"1,060,061","1,288.00",497.3,823,"2,131.60","646,889",61%,315.1,63.40%
42,"Salt Lake City–West Valley City, UT",Salt Lake City,"1,021,243",719.7,277.9,"1,418.90","3,675.10","186,440",18.20%,109.1,39.30%
43,"Louisville/Jefferson County, KY–IN",Louisville,"972,546","1,234.70",476.7,787.7,"2,040.10",,,,
44,"Nashville-Davidson, TN",Nashville,"969,587","1,459.40",563.5,664.4,"1,720.70",,,,
45,"Richmond, VA",Richmond,"953,556","1,274.70",492.2,748.1,"1,937.50",,,,
46,"Buffalo, NY",Buffalo,"935,906",984,379.9,951.1,"2,463.40",,,,
47,"Hartford, CT",Hartford,"924,859","1,337.10",516.3,691.7,"1,791.50",,,,
48,"Bridgeport–Stamford, CT–NY",Bridgeport,"923,311","1,207.50",466.2,764.7,"1,980.50",,,,
49,"New Orleans, LA",New Orleans,"899,703",651.1,251.4,"1,381.80","3,578.90",,,,
50,"Raleigh, NC",Raleigh,"884,891","1,342.00",518.1,659.4,"1,707.80",,,,
51,"Oklahoma City, OK",Oklahoma City,"861,505","1,063.50",410.6,810,"2,098.00",,,,
52,"Tucson, AZ",Tucson,"843,168",915.5,353.5,921,"2,385.40",,,,
53,"El Paso, TX–NM",El Paso,"803,086",649,250.6,"1,237.50","3,205.00",,,,
54,"Urban Honolulu, HI",Urban Honolulu,"802,459",440.7,170.2,"1,820.70","4,715.60",,,,
55,"Birmingham, AL",Birmingham,"749,495","1,372.40",529.9,546.1,"1,414.40",,,,
56,"Albuquerque, NM",Albuquerque,"741,318",649,250.6,"1,142.30","2,958.50",,,,
57,"McAllen, TX",McAllen,"728,825",927.2,358,786.1,"2,035.90",,,,
58,"Omaha, NE–IA",Omaha,"725,008",702.4,271.2,"1,032.10","2,673.30",,,,
59,"Dayton, OH",Dayton,"724,091",910.2,351.4,795.5,"2,060.40",,,,
60,"Rochester, NY",Rochester,"720,572",840.4,324.5,857.4,"2,220.80",,,,
61,"Allentown, PA–NJ",Allentown,"664,651",896.9,346.3,741.1,"1,919.30",,,,
62,"Tulsa, OK",Tulsa,"655,479",870,335.9,753.4,"1,951.30",,,,
63,"Fresno, CA",Fresno,"654,628",443.6,171.3,"1,475.60","3,821.90",,,,
64,"Sarasota–Bradenton, FL",Sarasota,"643,260",846.1,326.7,760.3,"1,969.00",,,,
65,"Springfield, MA–CT",Springfield,"621,300",902.8,348.6,688.2,"1,782.50",,,,
66,"Concord, CA",Concord,"615,968",527.7,203.8,"1,167.20","3,023.20",,,,
67,"Albany–Schenectady, NY",Albany,"594,962",765.9,295.7,776.8,"2,011.80",,,,
