State 	Regular 	Mid-Grade 	Premium 	Diesel 
Alabama	$2.07 	$2.40 	$2.73 	$2.41 
Alaska	$2.53 	$2.64 	$2.81 	$2.53 
Arizona	$2.31 	$2.58 	$2.83 	$2.49 
Arkansas	$2.06 	$2.35 	$2.63 	$2.38 
California	$3.29 	$3.46 	$3.58 	$3.48 
Colorado	$2.28 	$2.60 	$2.88 	$2.38 
Connecticut	$2.33 	$2.63 	$2.86 	$2.75 
Delaware	$2.42 	$2.80 	$3.02 	$2.83 
District of Columbia	$2.51 	$3.00 	$3.14 	$2.90 
Florida	$2.30 	$2.64 	$2.93 	$2.62 
Georgia	$2.15 	$2.47 	$2.79 	$2.52 
Hawaii	$3.30 	$3.49 	$3.71 	$4.06 
Idaho	$2.22 	$2.38 	$2.59 	$2.64 
Illinois	$2.46 	$2.79 	$3.18 	$2.64 
Indiana	$2.31 	$2.61 	$2.93 	$2.69 
Iowa	$2.23 	$2.36 	$2.77 	$2.47 
Kansas	$2.07 	$2.31 	$2.55 	$2.37 
Kentucky	$2.21 	$2.51 	$2.81 	$2.45 
Louisiana	$2.01 	$2.33 	$2.62 	$2.34 
Maine	$2.32 	$2.63 	$2.88 	$2.61 
Maryland	$2.40 	$2.83 	$3.07 	$2.84 
Massachusetts	$2.26 	$2.58 	$2.80 	$2.64 
Michigan	$2.17 	$2.49 	$2.82 	$2.60 
Minnesota	$2.19 	$2.40 	$2.71 	$2.55 
Mississippi	$1.98 	$2.28 	$2.60 	$2.27 
Missouri	$2.03 	$2.25 	$2.52 	$2.26 
Montana	$2.25 	$2.50 	$2.77 	$2.49 
Nebraska	$2.24 	$2.35 	$2.69 	$2.48 
Nevada	$2.66 	$2.87 	$3.04 	$2.73 
New Hampshire	$2.23 	$2.57 	$2.83 	$2.55 
New Jersey	$2.45 	$2.80 	$2.97 	$2.74 
New Mexico	$2.21 	$2.50 	$2.75 	$2.45 
New York	$2.38 	$2.68 	$2.91 	$2.82 
North Carolina	$2.19 	$2.51 	$2.83 	$2.46 
North Dakota	$2.21 	$2.40 	$2.63 	$2.55 
Ohio	$2.26 	$2.56 	$2.89 	$2.66 
Oklahoma	$2.04 	$2.28 	$2.50 	$2.28 
Oregon	$2.63 	$2.81 	$3.00 	$2.74 
Pennsylvania	$2.61 	$2.91 	$3.19 	$2.96 
Rhode Island	$2.26 	$2.63 	$2.86 	$2.66 
South Carolina	$2.09 	$2.41 	$2.72 	$2.37 
South Dakota	$2.27 	$2.37 	$2.69 	$2.53 
Tennessee	$2.12 	$2.45 	$2.78 	$2.45 
Texas	$2.00 	$2.32 	$2.61 	$2.24 
Utah	$2.22 	$2.38 	$2.54 	$2.59 
Vermont	$2.29 	$2.58 	$2.84 	$2.63 
Virginia	$2.18 	$2.55 	$2.84 	$2.47 
Washington	$2.77 	$2.98 	$3.15 	$2.85 
West Virginia	$2.29 	$2.56 	$2.84 	$2.61 
Wisconsin	$2.16 	$2.47 	$2.86 	$2.47 
Wyoming	$2.23 	$2.45 	$2.67 	$2.54 
