,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,is_EV,sale total
0,Ford F-Series,60595.0,78449.0,47517.0,32549.0,72330.0,75947.0,77720.0,69085.0,74842.0,71593.0,52698.0,74047.0,0,787372.0
1,Chevrolet Silverado,46673.0,60425.0,36600.0,22038.0,48973.0,51421.0,51715.0,45969.0,49800.0,60535.0,49725.0,69183.0,0,593057.0
2,Ram Pickup,41836.0,54163.0,32807.0,21141.0,46979.0,49328.0,54756.0,48672.0,52728.0,54403.0,44688.0,62175.0,0,563676.0
3,Toyota RAV4,33130.0,39626.0,24875.0,15431.0,34292.0,36006.0,36323.0,39239.0,43652.0,40717.0,40250.0,46846.0,0,430387.0
4,Honda CR-V,26027.0,28268.0,16891.0,12201.0,29023.0,26488.0,20473.0,34391.0,33572.0,32415.0,25633.0,38120.0,0,323502.0
5,Toyota Camry,24824.0,29245.0,23119.0,8768.0,19484.0,20459.0,22792.0,27892.0,28362.0,29666.0,29373.0,30364.0,0,294348.0
6,Chevrolet Equinox,23858.0,30887.0,18708.0,9144.0,20319.0,21335.0,23660.0,21031.0,22784.0,26741.0,21966.0,30561.0,0,270994.0
7,Honda Civic,20054.0,25617.0,18273.0,13410.0,27244.0,23260.0,25188.0,25524.0,22371.0,21865.0,17372.0,21047.0,0,261225.0
8,GMC Sierra,17217.0,22290.0,13501.0,9688.0,21530.0,22606.0,23778.0,21136.0,22898.0,26438.0,21717.0,30215.0,0,253014.0
9,Toyota Tacoma,17112.0,20609.0,15915.0,9191.0,20425.0,21446.0,17412.0,20579.0,20929.0,23774.0,22456.0,28957.0,0,238805.0
10,Toyota Corolla,23477.0,26590.0,19147.0,7270.0,16155.0,16963.0,17564.0,19154.0,19894.0,21569.0,23987.0,25409.0,0,237179.0
11,Nissan Rogue,19396.0,25111.0,15210.0,8505.0,18900.0,19845.0,21192.0,18837.0,20407.0,20421.0,16774.0,23338.0,0,227936.0
12,Ford Explorer,18289.0,23678.0,14342.0,8071.0,17936.0,18832.0,20709.0,18408.0,19942.0,21079.0,18848.0,26081.0,0,226215.0
13,Toyota Highlander,17009.0,20174.0,10707.0,5613.0,12472.0,13096.0,18128.0,21795.0,22307.0,22262.0,21935.0,26778.0,0,212276.0
14,Jeep Grand Cherokee,16267.0,21060.0,12756.0,8339.0,18530.0,19457.0,19793.0,17594.0,19060.0,19205.0,15776.0,21949.0,0,209786.0
15,Jeep Wrangler,12884.0,16680.0,10103.0,10163.0,22585.0,23714.0,18960.0,16853.0,18258.0,17242.0,14163.0,19705.0,0,201310.0
16,Honda Accord,15099.0,18216.0,13810.0,8851.0,17369.0,15409.0,17221.0,19167.0,20149.0,19185.0,15473.0,19509.0,0,199458.0
17,Ford Escape,15628.0,20233.0,12255.0,6602.0,14672.0,15406.0,16465.0,14636.0,15855.0,15959.0,13411.0,17373.0,0,178495.0
18,Subaru Forester,13209.0,16458.0,9413.0,9431.0,17859.0,19490.0,15313.0,17261.0,15648.0,14697.0,12211.0,16006.0,0,176996.0
19,Subaru Outback,11379.0,12665.0,8571.0,8058.0,11382.0,10250.0,12158.0,14856.0,17023.0,16755.0,12921.0,17272.0,0,153290.0
20,Mazda CX-5,12908.0,14462.0,7841.0,5220.0,12140.0,12501.0,11878.0,13745.0,13582.0,11890.0,12299.0,17954.0,0,146420.0
21,Nissan Altima,15378.0,19909.0,12059.0,3906.0,8681.0,9115.0,9830.0,8738.0,9466.0,13800.0,11335.0,15771.0,0,137988.0
22,Jeep Cherokee,10938.0,14160.0,8577.0,4187.0,9305.0,9770.0,14370.0,12773.0,13838.0,12798.0,10512.0,14626.0,0,135854.0
23,Ford Transit,11964.0,15490.0,9382.0,3230.0,7178.0,7536.0,13637.0,12122.0,13132.0,12403.0,9917.0,15566.0,0,131557.0
24,Toyota 4Runner,9342.0,10912.0,7818.0,5284.0,11742.0,12330.0,9310.0,9860.0,10229.0,12940.0,12416.0,16869.0,0,129052.0
25,Chevrolet Traverse,9775.0,12655.0,7665.0,4017.0,8926.0,9372.0,11082.0,9850.0,10671.0,14011.0,11509.0,16013.0,0,125546.0
26,Honda Pilot,7765.0,9688.0,6445.0,6562.0,12227.0,12128.0,12036.0,12508.0,10643.0,11631.0,9126.0,13054.0,0,123813.0
27,Hyundai Tuscon,8068.0,9594.0,6073.0,8438.0,15552.0,10216.0,10922.0,11632.0,10644.0,10898.0,9739.0,11881.0,0,123657.0
28,Subaru CrossTrek,8131.0,8287.0,5098.0,4489.0,9486.0,10241.0,8913.0,10329.0,11950.0,14994.0,12841.0,14957.0,0,119716.0
29,Ford Fusion,11997.0,15532.0,9408.0,4407.0,9794.0,10283.0,10254.0,9115.0,9874.0,6526.0,5902.0,7573.0,0,110665.0
30,Toyota Tundra,6655.0,8059.0,6944.0,4900.0,10889.0,11433.0,9066.0,10130.0,8738.0,9999.0,10266.0,12124.0,0,109203.0
