,city_ascii,state_id,state_name,lat,lng,population,Density(km^2),Unique City,Land Area (sq km),No. of Charge Stations,No. of McDonald's,No. of Starbucks
0,NEW YORK,NY,New York,40.6943,-73.9249,18713220,10715.0,"NEW YORK, NY",8936,321,250,47
1,LOS ANGELES,CA,California,34.1139,-118.4068,12750807,3276.0,"LOS ANGELES, CA",4496,759,203,5
2,CHICAGO,IL,Illinois,41.8373,-87.6862,8604203,4574.0,"CHICAGO, IL",6326,164,16,0
3,MIAMI,FL,Florida,25.7839,-80.2102,6445545,5019.0,"MIAMI, FL",3208,147,104,125
4,DALLAS,TX,Texas,32.7936,-96.7662,5743938,1526.0,"DALLAS, TX",4607,134,142,36
5,PHILADELPHIA,PA,Pennsylvania,40.0077,-75.1339,5649300,4554.0,"PHILADELPHIA, PA",5131,60,94,107
6,HOUSTON,TX,Texas,29.7863,-95.3889,5464251,1399.0,"HOUSTON, TX",4299,183,143,149
7,ATLANTA,GA,Georgia,33.7627,-84.4224,5449398,1441.0,"ATLANTA, GA",6851,324,97,17
8,WASHINGTON,DC,District of Columbia,38.9047,-77.0163,5379184,4457.0,"WASHINGTON, DC",3423,167,63,63
9,BOSTON,MA,Massachusetts,42.3188,-71.0846,4688346,5532.0,"BOSTON, MA",4852,123,29,82
10,PHOENIX,AZ,Arizona,33.5722,-112.0891,4219697,1253.0,"PHOENIX, AZ",2969,134,50,228
11,SEATTLE,WA,Washington,47.6211,-122.3244,3789215,3469.0,"SEATTLE, WA",2616,220,48,42
12,SAN FRANCISCO,CA,California,37.7562,-122.443,3592294,7256.0,"SAN FRANCISCO, CA",1356,216,0,51
13,DETROIT,MI,Michigan,42.3834,-83.1024,3506126,1864.0,"DETROIT, MI",3463,53,104,61
14,SAN DIEGO,CA,California,32.8312,-117.1225,3220118,1686.0,"SAN DIEGO, CA",1896,316,71,229
15,MINNEAPOLIS,MN,Minnesota,44.9635,-93.2678,2977172,3071.0,"MINNEAPOLIS, MN",2646,61,73,114
16,TAMPA,FL,Florida,27.9942,-82.4451,2908063,1353.0,"TAMPA, FL",2478,85,74,12
17,DENVER,CO,Colorado,39.7621,-104.8759,2876625,1831.0,"DENVER, CO",1730,173,96,226
18,RIVERSIDE,CA,California,33.9381,-117.3948,2107852,1574.0,"RIVERSIDE, CA",1411,70,47,126
19,BALTIMORE,MD,Maryland,39.3051,-76.6144,2106068,2830.0,"BALTIMORE, MD",1857,185,45,10
20,LAS VEGAS,NV,Nevada,36.2333,-115.2654,2104198,1773.0,"LAS VEGAS, NV",1079,129,100,205
21,PORTLAND,OR,Oregon,45.5372,-122.65,2074775,1894.0,"PORTLAND, OR",1358,143,63,114
22,SAN ANTONIO,TX,Texas,29.4658,-98.5253,2049293,1231.0,"SAN ANTONIO, TX",1546,89,88,94
23,ST. LOUIS,MO,Missouri,38.6358,-90.2451,2024074,1879.0,"ST. LOUIS, MO",2392,28,67,76
24,SACRAMENTO,CA,California,38.5667,-121.4683,1898019,2029.0,"SACRAMENTO, CA",1219,124,66,29
25,ORLANDO,FL,Florida,28.4772,-81.3369,1822394,1003.0,"ORLANDO, FL",1548,171,94,14
26,SAN JOSE,CA,California,37.3019,-121.8486,1798103,2218.0,"SAN JOSE, CA",740,171,55,117
27,CLEVELAND,OH,Ohio,41.4767,-81.6804,1710093,1893.0,"CLEVELAND, OH",1999,16,55,59
28,PITTSBURGH,PA,Pennsylvania,40.4396,-79.9762,1703266,2093.0,"PITTSBURGH, PA",2344,90,52,66
29,AUSTIN,TX,Texas,30.3004,-97.7522,1687311,1181.0,"AUSTIN, TX",1354,283,49,42
30,CINCINNATI,OH,Ohio,39.1413,-84.5061,1662691,1507.0,"CINCINNATI, OH",2040,42,65,74
31,KANSAS CITY,MO,Missouri,39.1239,-94.5541,1636715,607.0,"KANSAS CITY, MO",1755,168,73,67
32,INDIANAPOLIS,IN,Indiana,39.7771,-86.1458,1588961,935.0,"INDIANAPOLIS, IN",1827,44,69,99
33,COLUMBUS,OH,Ohio,39.9862,-82.985,1562009,1582.0,"COLUMBUS, OH",1322,132,69,95
34,CHARLOTTE,NC,North Carolina,35.208,-80.8304,1512923,1113.0,"CHARLOTTE, NC",1920,97,52,98
35,VIRGINIA BEACH,VA,Virginia,36.7335,-76.0435,1478868,709.0,"VIRGINIA BEACH, VA",1335,30,43,57
36,MILWAUKEE,WI,Wisconsin,43.0642,-87.9673,1365787,2369.0,"MILWAUKEE, WI",1413,34,60,66
37,PROVIDENCE,RI,Rhode Island,41.823,-71.4187,1203230,3773.0,"PROVIDENCE, RI",1411,39,14,10
